"keggcom","disease","text"
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_363448003","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_399068003","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_93974005","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_154531004","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_254900004","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_263847000","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_41216001","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_279689003","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_30281009","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C05443","http://www.ihtsdo.org/SCT_197979000","Context: Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C00072","http://www.ihtsdo.org/SCT_64572001","Ascorbic acid can be used as a nutritional supplement for cellular therapy of bone-related disease."
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_131143000","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_189759009","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_254818000","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_61814002","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_414916001","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_154776002","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_190963004","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_414915002","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_5476005","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_154672006","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_190323008","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_190384004","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_267468009","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00153","http://www.ihtsdo.org/SCT_44054006","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_93880001","Riboflavin at 200 and 400 μmol/L significantly enhanced cell growth in test lung cancer cell lines, and at 400 μmol/L significantly increased the release of interleukin-6, tumor necrosis factor-alpha, and vascular endothelial growth factor."
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_363358000","Riboflavin at 200 and 400 μmol/L significantly enhanced cell growth in test lung cancer cell lines, and at 400 μmol/L significantly increased the release of interleukin-6, tumor necrosis factor-alpha, and vascular endothelial growth factor."
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_154485001","Riboflavin at 200 and 400 μmol/L significantly enhanced cell growth in test lung cancer cell lines, and at 400 μmol/L significantly increased the release of interleukin-6, tumor necrosis factor-alpha, and vascular endothelial growth factor."
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_187875007","Riboflavin at 200 and 400 μmol/L significantly enhanced cell growth in test lung cancer cell lines, and at 400 μmol/L significantly increased the release of interleukin-6, tumor necrosis factor-alpha, and vascular endothelial growth factor."
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_269561006","Riboflavin at 200 and 400 μmol/L significantly enhanced cell growth in test lung cancer cell lines, and at 400 μmol/L significantly increased the release of interleukin-6, tumor necrosis factor-alpha, and vascular endothelial growth factor."
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_93880001","Riboflavin at high doses enhances lung cancer cell proliferation, invasion, and migration"
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_363358000","Riboflavin at high doses enhances lung cancer cell proliferation, invasion, and migration"
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_154485001","Riboflavin at high doses enhances lung cancer cell proliferation, invasion, and migration"
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_187875007","Riboflavin at high doses enhances lung cancer cell proliferation, invasion, and migration"
"https://www.kegg.jp/entry/C00255","http://www.ihtsdo.org/SCT_269561006","Riboflavin at high doses enhances lung cancer cell proliferation, invasion, and migration"
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_10200004","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_155807008","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_155817003","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_155822003","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_197375001","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_197551000","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_235856003","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_266535008","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_62857009","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_412238008","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00504","http://www.ihtsdo.org/SCT_88566002","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_190625009","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_154725000","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_267491008","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_35843007","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_36656008","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_190624008","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_190628006","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_399357009","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_191088004","Objective: Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_154671004","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_191044006","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_267467004","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_73211009","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_414916001","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_154776002","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_190963004","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_414915002","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00025","http://www.ihtsdo.org/SCT_5476005","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_129453003","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_246199000","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_260372006","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_154722002","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_154730001","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_190595009","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_190608007","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_190678008","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_238106006","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_248325000","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_2492009","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_267409003","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_267495004","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_302868002","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_47563007","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_65404009","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00378","http://www.ihtsdo.org/SCT_70241007","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00062","http://www.ihtsdo.org/SCT_414916001","Conclusions: L-Arginine supplementation affects zinc status in obese patients."
"https://www.kegg.jp/entry/C00062","http://www.ihtsdo.org/SCT_154776002","Conclusions: L-Arginine supplementation affects zinc status in obese patients."
"https://www.kegg.jp/entry/C00062","http://www.ihtsdo.org/SCT_190963004","Conclusions: L-Arginine supplementation affects zinc status in obese patients."
"https://www.kegg.jp/entry/C00062","http://www.ihtsdo.org/SCT_414915002","Conclusions: L-Arginine supplementation affects zinc status in obese patients."
"https://www.kegg.jp/entry/C00062","http://www.ihtsdo.org/SCT_5476005","Conclusions: L-Arginine supplementation affects zinc status in obese patients."
"https://www.kegg.jp/entry/C01673","http://www.ihtsdo.org/SCT_154521006","Calcitriol [1,25(OH)2D3], the hormonally active form of vitamin D exerts anti-proliferative, pro-apoptotic, anti-inflammatory effects and other anticancer actions in breast cancer (BCa) cell cultures and animal models of BCa."
"https://www.kegg.jp/entry/C01673","http://www.ihtsdo.org/SCT_190121004","Calcitriol [1,25(OH)2D3], the hormonally active form of vitamin D exerts anti-proliferative, pro-apoptotic, anti-inflammatory effects and other anticancer actions in breast cancer (BCa) cell cultures and animal models of BCa."
"https://www.kegg.jp/entry/C01673","http://www.ihtsdo.org/SCT_269595005","Calcitriol [1,25(OH)2D3], the hormonally active form of vitamin D exerts anti-proliferative, pro-apoptotic, anti-inflammatory effects and other anticancer actions in breast cancer (BCa) cell cultures and animal models of BCa."
"https://www.kegg.jp/entry/C01673","http://www.ihtsdo.org/SCT_254837009","Calcitriol [1,25(OH)2D3], the hormonally active form of vitamin D exerts anti-proliferative, pro-apoptotic, anti-inflammatory effects and other anticancer actions in breast cancer (BCa) cell cultures and animal models of BCa."
"https://www.kegg.jp/entry/C01673","http://www.ihtsdo.org/SCT_154513000","Calcitriol [1,25(OH)2D3], the hormonally active form of vitamin D exerts anti-proliferative, pro-apoptotic, anti-inflammatory effects and other anticancer actions in breast cancer (BCa) cell cultures and animal models of BCa."
"https://www.kegg.jp/entry/C01673","http://www.ihtsdo.org/SCT_254838004","Calcitriol [1,25(OH)2D3], the hormonally active form of vitamin D exerts anti-proliferative, pro-apoptotic, anti-inflammatory effects and other anticancer actions in breast cancer (BCa) cell cultures and animal models of BCa."
"https://www.kegg.jp/entry/C01673","http://www.ihtsdo.org/SCT_286898006","Calcitriol [1,25(OH)2D3], the hormonally active form of vitamin D exerts anti-proliferative, pro-apoptotic, anti-inflammatory effects and other anticancer actions in breast cancer (BCa) cell cultures and animal models of BCa."
"https://www.kegg.jp/entry/C00072","http://www.ihtsdo.org/SCT_389086002","Ascorbate prevents placental oxidative stress and enhances birth weight in hypoxic pregnancy in rats"
"https://www.kegg.jp/entry/C00072","http://www.ihtsdo.org/SCT_30869003","Ascorbate prevents placental oxidative stress and enhances birth weight in hypoxic pregnancy in rats"
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_129453003","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_246199000","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_260372006","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_154722002","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_154730001","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_190595009","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_190608007","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_190678008","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_238106006","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_248325000","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_2492009","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_267409003","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_267495004","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_302868002","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_47563007","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_65404009","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00120","http://www.ihtsdo.org/SCT_70241007","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C00183","http://www.ihtsdo.org/SCT_156726002","In accordance, well-known microbial production bacteria, such as Escherichia coli and Corynebacterium glutamicum strains, have recently been metabolically engineered for efficient L-valine production under aerobic or anaerobic conditions, and the respective cultivation and production conditions have been optimized."
"https://www.kegg.jp/entry/C00183","http://www.ihtsdo.org/SCT_157257005","In accordance, well-known microbial production bacteria, such as Escherichia coli and Corynebacterium glutamicum strains, have recently been metabolically engineered for efficient L-valine production under aerobic or anaerobic conditions, and the respective cultivation and production conditions have been optimized."
"https://www.kegg.jp/entry/C00183","http://www.ihtsdo.org/SCT_203094001","In accordance, well-known microbial production bacteria, such as Escherichia coli and Corynebacterium glutamicum strains, have recently been metabolically engineered for efficient L-valine production under aerobic or anaerobic conditions, and the respective cultivation and production conditions have been optimized."
"https://www.kegg.jp/entry/C00183","http://www.ihtsdo.org/SCT_269324003","In accordance, well-known microbial production bacteria, such as Escherichia coli and Corynebacterium glutamicum strains, have recently been metabolically engineered for efficient L-valine production under aerobic or anaerobic conditions, and the respective cultivation and production conditions have been optimized."
"https://www.kegg.jp/entry/C00183","http://www.ihtsdo.org/SCT_367127009","In accordance, well-known microbial production bacteria, such as Escherichia coli and Corynebacterium glutamicum strains, have recently been metabolically engineered for efficient L-valine production under aerobic or anaerobic conditions, and the respective cultivation and production conditions have been optimized."
