Compound,Compoundclass,compoundtree
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class54,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class189
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class54,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class54
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class57,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class189
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class57,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class54
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class57,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class157
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class57,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class156
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class56,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class189
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class56,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class54
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class56,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class57
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class56,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class157
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class56,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class156
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class189
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class156,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class189
https://www.kegg.jp/entry/C01157,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class156,http://nlp_microbe.ccnu.edu.cn/entity#br08001Class157
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class31,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class207
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class31
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class29
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class207
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class64
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class73
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class84
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class150
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class91
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class102
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class120
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class131
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class144
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class163
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class168
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class169
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class173
https://www.kegg.jp/entry/C07481,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class28,http://nlp_microbe.ccnu.edu.cn/entity#br08003Class195
